Tamaño,Tiempo (s),Pasos
2,0.09474277496337886,10
3,0.08079200983047483,14
4,0.07918775081634519,18
5,0.08092254400253292,23
6,0.08306300640106197,28
7,0.0820090770721435,30
8,0.08304178714752197,38
9,0.08262676000595087,39
10,0.08447694778442377,43
11,0.08358979225158691,47
12,0.08447754383087155,48
13,0.08416312932968134,53
14,0.08807170391082761,59
15,0.08947211503982538,59
16,0.09068191051483153,66
17,0.09098434448242185,70
18,0.095550000667572,73
19,0.09920084476470944,81
20,0.10185581445693966,83
21,0.10278880596160887,87
22,0.10444647073745726,91
23,0.1125974655151367,94
24,0.12498331069946286,98
25,0.11920028924942014,103
26,0.13048833608627314,109
27,0.13998687267303464,110
28,0.1589807868003845,118
29,0.15977406501770017,122
30,0.1926075220108032,119
31,0.18567627668380735,129
32,0.1702202558517456,130
33,0.1815279722213745,136
34,0.2081523537635803,138
35,0.21524214744567866,144
36,0.2290482521057129,142
37,0.26938241720199585,151
38,0.2532874345779419,155
39,0.28160107135772705,163
40,0.35675525665283203,163
41,0.3282773494720459,164
42,0.3723036050796509,166
43,0.3372848629951477,172
44,0.3753289580345154,178
45,0.4208657145500183,184
46,0.47567838430404663,186
47,0.46596062183380127,194
48,0.5076177716255188,195
49,0.7593224048614502,201
50,0.6440767645835876,200
51,0.7370537519454956,209
52,0.5891987681388855,206
53,0.8537116646766663,216
54,0.7751685976982117,221
55,1.057950735092163,216
56,1.0756205916404724,222
57,1.1724379658699036,224
58,1.4390729665756226,231
59,1.6991270780563354,231
60,1.3906739354133606,243
61,1.0785880088806152,250
62,2.068298101425171,248
63,1.319106101989746,255
64,1.3425317406654358,256
65,1.542609989643097,266
66,2.753178894519806,270
67,1.5400561690330505,270
68,2.0422667860984802,271
69,2.3501561284065247,278
70,1.9020575881004333,284
71,2.066879451274872,292
72,2.8424428701400757,297
73,2.3913806080818176,304
74,3.0973570346832275,297
75,4.665943443775177,305
76,3.227494478225708,306
77,3.2271652221679688,315
78,3.2424649596214294,314
79,6.386601567268372,321
80,4.190394759178162,325
81,4.502130925655365,332
82,6.724798083305359,329
83,5.683706760406494,333
84,7.336022078990936,344
85,7.627203941345215,341
86,6.695818781852722,346
87,8.744164407253265,346
88,12.916123270988464,357
89,6.830348372459412,363
90,16.475306451320648,354
91,18.47809988260269,367
92,20.151587665081024,361
93,13.171272099018097,373
94,19.99082362651825,375
95,15.318297922611237,393
96,14.691258072853088,390
97,15.647203981876373,393
98,18.450983464717865,394
99,23.953570246696472,389
100,17.750536799430847,398
101,12.144860923290253,406
102,11.278209507465363,419
103,10.081607401371002,415
104,13.782311141490936,413
105,13.670294880867004,434
106,14.351778388023376,419
107,16.830324172973633,427
108,16.416375935077667,436
109,24.603808224201202,439
110,17.813276827335358,440
111,18.245777368545532,436
112,18.09861660003662,456
113,27.67372614145279,451
114,21.754457235336304,465
115,26.983046531677246,450
116,28.2402121424675,451
117,32.519911885261536,457
118,40.50408178567886,470
119,38.01313328742981,464
120,22.29795789718628,483
121,24.74430108070373,489
122,22.92426037788391,484
123,25.21437692642212,511
124,28.174123287200928,496
125,26.35822105407715,498
126,45.11112141609192,500
127,40.738932847976685,501
128,40.653059005737305,507
129,27.66230821609497,518
130,58.92667770385742,507
131,53.11423397064209,522
132,38.69955706596375,522
133,40.47373557090759,518
134,33.715256452560425,544
135,54.48773455619812,545
