Tamaño,Tiempo (s),Pasos
2,0.0062276124954223,6
3,0.0022583007812499,11
4,0.0053571462631225,16
5,0.0032216310501098,21
6,0.0028672218322753,25
7,0.0039292573928832,28
8,0.0035018920898437,34
9,0.0051450729370116,39
10,0.0051543712615966,41
11,0.0058025121688842,43
12,0.0076426267623901,53
13,0.0098750591278075,55
14,0.0123683214187621,61
15,0.0139080286026,61
16,0.0179954767227172,69
17,0.0174922943115234,64
18,0.023168921470642,75
19,0.032102346420288,87
20,0.0381330251693725,85
21,0.0364700555801391,86
22,0.0477565526962279,99
23,0.0630257129669189,102
24,0.0787227153778075,105
25,0.0885120630264282,110
26,0.0912983417510986,111
27,0.125491976737976,118
28,0.141183853149414,121
29,0.1605265140533447,128
30,0.153554081916809,125
31,0.2360339164733886,133
32,0.2159546613693237,137
33,0.2318642139434814,145
34,0.426521897315979,153
35,0.3855208158493042,158
36,0.4739561080932617,166
37,0.4148892164230346,166
38,0.5362248420715332,167
39,0.5266904830932617,173
40,0.7664062976837158,171
41,0.7515170574188232,172
42,0.8761172294616699,177
43,0.9206092357635498,195
44,1.0776915550231934,191
45,0.9805127382278442,198
46,1.4566138982772827,203
47,1.488795518875122,202
48,1.9088287353515625,218
49,1.491176724433899,215
50,1.82889986038208,210
51,2.350484013557434,230
52,2.467529296875,225
53,2.4891648292541504,220
54,2.9536824226379395,249
55,2.7292022705078125,245
56,3.4456233978271484,246
57,3.713219046592712,248
58,3.787840485572815,265
59,3.1320406198501587,265
60,3.4471434354782104,261
61,5.675660133361816,278
62,4.555969476699829,275
63,5.395262598991394,278
64,5.8699668645858765,275
65,6.004675388336182,266
66,6.382062077522278,287
67,7.367201089859009,283
68,6.941432356834412,282
69,7.772690892219543,299
70,9.969708919525146,318
71,11.229197025299072,309
72,9.947964906692505,323
73,11.7255699634552,308
74,9.755417585372925,298
75,12.611080884933472,309
76,13.906741380691528,338
77,11.398437857627869,335
78,16.374690651893616,332
79,17.98646593093872,334
80,16.153663516044617,347
81,17.723305702209473,365
82,19.976266503334045,374
83,16.92124831676483,364
84,22.34447860717773,362
85,28.366898775100708,387
86,25.81882965564728,371
87,26.17249476909637,397
88,24.81381058692932,401
89,28.31678569316864,389
90,25.05757761001587,401
91,30.37519478797913,397
92,35.72790086269379,420
93,42.64874255657196,425
94,40.16152989864349,408
95,39.4001681804657,424
96,29.983927726745605,418
97,47.21010613441467,437
98,42.58512532711029,405
99,39.82176852226257,431
100,55.83730745315552,436
101,57.55089962482453,466
