Tamaño,Tiempo (s),Pasos
2,0.002477407455444336,6
3,0.0028405189514160156,10
4,0.0041577816009521484,14
5,0.004056453704833984,18
6,0.005437612533569336,19
7,0.007089376449584961,24
8,0.010839223861694336,28
9,0.014739751815795898,30
10,0.028001785278320312,34
11,0.04434037208557129,39
12,0.057622432708740234,40
13,0.08013677597045898,48
14,0.10275006294250488,50
15,0.30890393257141113,49
16,0.1931462287902832,58
17,0.25198960304260254,60
18,0.32100725173950195,64
19,0.49688291549682617,72
20,0.4356422424316406,74
21,0.7818961143493652,74
22,1.2829270362854004,74
23,1.1817922592163086,86
24,1.39573335647583,91
25,2.7319562435150146,84
26,3.3365063667297363,90
27,3.4688234329223633,98
28,4.979583501815796,100
29,5.398382902145386,108
30,4.4132773876190186,108
31,9.227983713150024,114
32,8.796809434890747,112
33,42.088526487350464,107
34,13.24847674369812,122
35,19.009557008743286,130
36,21.046404600143433,132
37,13.899041891098022,134
2,0.002733945846557617,6
3,0.0033566951751708984,10
4,0.003559589385986328,13
5,0.003648042678833008,18
6,0.005050182342529297,22
7,0.008543252944946289,22
8,0.010442495346069336,26
9,0.013436317443847656,32
10,0.026067018508911133,36
11,0.02857351303100586,38
12,0.035841941833496094,42
13,0.06803607940673828,48
14,0.13244962692260742,48
15,0.2086784839630127,54
16,0.22776436805725098,56
17,0.3875460624694824,62
18,0.28841733932495117,66
19,0.41487669944763184,70
20,0.5749063491821289,68
21,1.4539117813110352,76
22,1.797494888305664,80
23,2.0500869750976562,81
24,2.601909637451172,82
25,1.4604320526123047,92
26,2.949878692626953,101
27,2.6825759410858154,94
28,5.638675212860107,99
29,7.866008281707764,112
30,5.073460102081299,110
31,26.17118263244629,98
32,16.053117990493774,120
33,7.7058868408203125,118
34,13.317166805267334,126
35,12.34575080871582,132
36,16.444766759872437,134
37,19.95933246612549,138
38,24.381202459335327,132
39,15.200692415237427,142
40,37.54879856109619,142
41,49.970526456832886,160
42,57.15786385536194,156
43,56.033323526382446,162
44,59.016804456710815,164
