Tamaño,Tiempo (s),Pasos
2,0.09080159664154051,9
3,0.08526933193206786,16
4,0.0835001468658447,16
5,0.08440297842025755,26
6,0.0913589000701904,38
7,0.08937770128250117,46
8,0.08998137712478635,41
9,0.12413668632507323,73
10,0.12066316604614255,49
11,0.3373454213142395,55
12,0.14241057634353632,57
13,0.5273271799087524,75
14,0.3379440903663635,67
15,0.382435142993927,90
16,1.4713861346244812,79
17,0.6632319092750549,91
18,6.68132871389389,93
19,10.427761137485504,93
20,1.4587441086769104,112
21,31.678617537021637,118
22,43.0557866692543,106
23,16.357550144195557,123
