Tamaño,Tiempo (s),Pasos
2,0.0039373040199279,8
3,0.0022907853126525,12
4,0.0023939013481139,15
5,0.0025600194931029,16
6,0.0054513812065124,22
7,0.0041128396987914,29
8,0.0041319727897643,28
9,0.0051283836364745,36
10,0.0056552290916442,38
11,0.0070136189460753,38
12,0.0090050101280211,44
13,0.0127111673355102,52
14,0.0122652649879455,49
15,0.0213918089866637,62
16,0.0228850245475768,62
17,0.022289752960205,64
18,0.0369550585746764,73
19,0.0372604131698608,71
20,0.0449320673942565,77
21,0.0572293996810912,80
22,0.0613816976547241,83
23,0.0699495077133178,84
24,0.0765417218208312,92
25,0.1097023487091064,96
26,0.104944348335266,91
27,0.1686979532241821,104
28,0.1632775664329528,98
29,0.191257357597351,111
30,0.2237205505371093,109
31,0.2628767490386963,114
32,0.2762215137481689,125
33,0.3717953562736511,123
34,0.4234732389450073,127
35,0.4459957480430603,133
36,0.6328898668289185,145
37,0.5926085710525513,134
38,0.6550407409667969,147
39,0.6691814064979553,146
40,0.81956946849823,159
41,0.8235493898391724,154
42,0.935499668121338,155
43,1.1040088534355164,157
44,1.1455496549606323,166
45,1.5303727388381958,171
46,1.3716022372245789,169
47,1.4319046139717102,175
48,1.7944560050964355,185
49,1.7812260389328003,190
50,1.630759358406067,176
51,2.5309886932373047,198
52,2.32862275838852,190
53,2.494948387145996,203
54,3.778511881828308,212
55,4.755802512168884,210
56,3.07291316986084,203
57,3.418776929378509,208
58,4.101118743419647,207
59,4.833655297756195,228
60,4.859067857265472,221
61,5.373099982738495,240
62,5.541715621948242,228
63,6.694412469863892,246
64,6.829998016357422,232
65,6.613722681999207,245
66,7.291384518146515,248
67,8.517954647541046,252
68,9.728466749191284,250
69,8.056582689285278,247
70,10.4994837641716,263
71,10.279284358024595,258
72,12.162504196166992,269
73,10.894517123699188,268
74,14.43635219335556,276
75,12.218171298503876,280
76,16.259548366069794,295
77,20.381016492843628,288
78,15.96999329328537,293
79,20.312236428260803,295
80,19.453219652175903,294
81,17.397422909736633,297
82,20.26862198114395,293
83,29.889726638793945,317
84,24.3965083360672,335
85,21.917533457279205,321
86,27.053775191307068,328
87,29.932100176811225,332
88,35.96570861339569,347
89,30.357783555984497,346
90,32.82346373796463,335
91,37.13175582885742,340
92,30.739086389541622,330
93,37.847372233867645,337
94,41.98601442575455,342
95,42.06638479232788,333
96,42.83476960659027,358
97,47.5764776468277,367
98,39.044527530670166,368
99,39.04819941520691,384
100,49.97842836380005,386
101,41.72351920604706,358

