Tamaño,Tiempo (s),Pasos
2,0.09238702058792109,11
3,0.08509123325347898,15
4,0.08056861162185666,22
5,0.09370940923690793,27
6,0.09880638122558588,32
7,0.09889703989028925,33
8,0.09974259138107297,40
9,0.10324907302856443,45
10,8.780795991420746,45
11,1.8441473245620728,52
12,0.1368612647056579,55
13,0.15821242332458493,61
14,0.16169679164886475,63
15,0.42006194591522217,80
16,0.18995267152786252,78
17,1.3128814101219177,112
18,0.28252917528152466,105
19,0.31854355335235596,87
20,0.35891658067703247,92
21,0.45941174030303955,95
22,0.44803720712661743,104
23,8.66031676530838,109
24,25.958414793014526,122
25,0.6561548113822937,113
26,1.0128007531166077,128
27,1.5668573379516602,141
28,0.8848587274551392,121
29,0.816035807132721,122
30,9.985653936862946,135
31,18.760180711746216,139
32,1.8013185262680054,140
33,2.441694974899292,159
34,2.067355394363404,150
35,1.4742770195007324,156
36,3.0618810653686523,164
37,3.106565237045288,165
38,2.110168695449829,162
39,6.412544012069702,168
40,6.820762872695923,174
41,3.2878458499908447,190
42,2.865574836730957,180
43,7.605467796325684,194
44,3.311361789703369,193
45,11.192625761032104,201
46,4.55546498298645,201
47,13.04242706298828,224
48,4.641423463821411,205
49,8.1341712474823,225
50,10.477733850479126,236
51,13.58650016784668,215
52,27.334190845489506,241
53,38.5466890335083,242
54,8.177863597869873,232
55,11.766827583312988,241
56,25.986560344696045,254
57,31.77206826210022,241
58,35.15031599998474,275
59,25.5490779876709,248
60,37.53763031959534,254
61,38.62998795509338,260
62,17.239829540252686,272
63,31.479463577270508,267
