Tamaño,Tiempo (s),Pasos
2,0.0056344270706176,8
3,0.0031472444534301,12
4,0.00320565700531,18
5,0.0035271644592285,23
6,0.0044569969177245,28
7,0.0061101913452148,31
8,0.0067490339279174,35
9,0.00984787940979,43
10,0.0119953155517578,46
11,0.0150997638702392,52
12,0.0197255611419677,54
13,0.0242891311645507,60
14,0.0238956212997436,65
15,0.0340555906295776,69
16,0.035876989364624,75
17,0.0445798635482787,81
18,0.0613182783126831,84
19,0.0700775384902953,91
20,0.0919171571731567,93
21,0.0879226922988891,100
22,0.1077430248260497,104
23,0.1187970638275146,107
24,0.1653245687484741,115
25,0.1911412477493285,117
26,0.1972438097000122,123
27,0.2575403451919555,131
28,0.2873810529708862,133
29,0.3083705902099609,141
30,0.3553931713104248,142
31,0.401532769203186,147
32,0.5337355136871338,154
33,0.4683485031127929,151
34,0.5465652942657471,164
35,0.706632137298584,168
36,0.7183330059051514,170
37,0.7646458148956299,172
38,0.9794899225234984,182
39,1.0561668872833252,189
40,1.0566437244415283,196
41,1.364052414894104,192
42,1.5421379804611206,200
43,2.163780093193054,205
44,2.0008405447006226,211
45,2.0633474588394165,224
46,2.3057068586349487,223
47,2.4166027307510376,231
48,2.6355589628219604,230
49,3.135384678840637,237
50,3.633558750152588,233
51,3.431947708129883,239
52,3.948148131370544,240
53,5.139439940452576,252
54,4.284611701965332,257
55,4.800693988800049,264
56,5.965701580047607,262
57,7.334531545639038,267
58,7.110567092895508,277
59,7.641649127006531,276
60,8.248727440834045,287
61,8.272939562797546,314
62,10.586752653121948,298
63,10.799816131591797,293
64,11.349408268928528,306
65,11.693716883659365,317
66,10.25948429107666,309
67,11.68833589553833,316
68,13.967906951904297,327
69,14.830379843711851,338
70,17.31880259513855,325
71,18.59854900836945,340
72,20.756994485855103,334
73,20.83198618888855,353
74,27.7617324590683,345
75,22.813613057136536,367
76,26.683523297309875,354
77,27.319187879562374,362
78,24.14043664932251,393
79,35.983579874038696,367
80,35.684229135513306,395
81,38.54126024246216,389
82,34.339913845062256,409
83,36.70865368843079,
84,41.48334813117981,
85,41.54512333869934,
86,48.837531328201294,
87,46.791022300720215,
