Tamaño,Tiempo (s),Pasos
2,0.0029931068420409796,8
3,0.003527641296386704,12
4,0.004507660865783671,16
5,0.006699562072753899,20
6,0.010531306266784658,24
7,0.02103579044342041,28
8,0.04131412506103514,32
9,0.059540748596191406,36
10,0.11970639228820797,40
11,0.11143767833709713,44
12,0.24513304233551023,48
13,0.2565046548843384,52
14,0.4528723955154419,56
15,0.5534107685089111,60
16,0.9099693298339844,64
17,1.2330842018127441,68
18,1.2475271224975586,72
19,2.324621796607971,76
20,2.5913678407669067,80
21,4.435540318489075,84
22,5.513448119163513,88
23,5.066477179527283,92
24,10.872799634933472,96
25,13.289700508117676,100
26,12.739057302474976,104
27,14.092016339302063,108
28,14.83539366722107,112
29,27.730504035949707,116
30,24.44899547100067,120
31,34.569597005844116,124
32,36.98417615890503,128
33,40.59720969200134,132
34,46.46563959121704,136
35,55.184988141059875,140
