Tamaño,Tiempo (s),Pasos,Coste
2,0.40226221084594727,7,864.0
3,0.4050304889678955,11,420.0
4,0.41877079010009766,15,1456.0
5,0.4287552833557129,19,1294.0
6,0.43850135803222656,23,1402.0
7,0.4738309383392334,27,1478.0
8,0.5110483169555664,31,2474.0
9,0.5298397541046143,35,1758.0
10,0.5632236003875732,39,2994.0
11,0.6140673160552979,43,4036.0
12,0.6363525390625,47,4586.0
13,0.6872220039367676,51,3258.0
14,0.7021784782409668,55,2798.0
15,0.7208600044250488,59,4016.0
16,0.7631573677062988,63,4574.0
17,0.8136272430419922,67,5606.0
18,0.869560718536377,71,5664.0
19,0.9191188812255859,75,6548.0
20,1.014756202697754,79,7076.0
21,1.0502488613128662,83,6378.0
22,1.18507981300354,87,5858.0
23,1.2061140537261963,91,5426.0
24,1.373986005783081,95,8732.0
25,1.4293758869171143,99,9254.0
26,1.5119507312774658,103,7312.0
27,1.5987157821655273,107,8528.0
28,1.6615114212036133,111,8922.0
29,1.7851836681365967,115,7724.0
30,1.9104115962982178,119,10268.0
31,2.1135706901550293,123,7982.0
32,2.329338550567627,127,11434.0
33,2.261854410171509,131,7620.0
34,2.508033514022827,135,9276.0
35,2.7278292179107666,139,11596.0
36,2.955186605453491,143,12010.0
37,2.8544607162475586,147,10904.0
38,3.363091468811035,151,11558.0
39,3.168034553527832,155,10588.0
40,3.429535388946533,159,11860.0
41,3.5062026977539062,163,11790.0
42,3.994520664215088,167,13426.0
43,4.169401407241821,171,12344.0
44,3.950870990753174,175,12780.0
45,4.794206857681274,179,13702.0
46,4.639689922332764,183,13462.0
47,5.686606168746948,187,16410.0
48,4.9603002071380615,191,13508.0
49,5.531513214111328,195,14228.0
50,6.180839538574219,199,14538.0
51,6.037717819213867,203,16014.0
52,6.689764976501465,207,16692.0
53,6.996850252151489,211,15552.0
54,6.785283327102661,215,17692.0
55,7.4361772537231445,219,19588.0
56,7.793124675750732,223,19066.0
57,8.485297441482544,227,16062.0
58,8.482697486877441,231,16910.0
59,8.969139337539673,235,16640.0
60,9.657349348068237,239,19206.0
61,10.89557671546936,243,17220.0
62,10.023757934570312,247,17542.0
63,10.946263551712036,251,18696.0
64,12.885268926620483,255,17960.0
65,11.791421175003052,259,21360.0
66,12.047141075134277,263,19012.0
67,13.397135019302368,267,20030.0
68,13.337802410125732,271,20548.0
69,13.340559720993042,275,23326.0
70,14.625580072402954,279,23620.0
71,16.202056169509888,283,21000.0
72,16.0519015789032,287,23256.0
73,19.62459897994995,291,22480.0
74,19.576979637145996,295,21136.0
75,17.638874292373657,299,26052.0
76,17.430362701416016,303,21736.0
77,20.717804431915283,307,21636.0
78,18.612419366836548,311,25454.0
79,21.2623348236084,315,25576.0
80,25.205342769622803,319,24884.0
81,21.640973567962646,323,26044.0
82,23.194310188293457,327,24340.0
83,24.509403944015503,331,24622.0
84,26.273172616958618,335,24690.0
85,27.185325622558594,339,25124.0
86,25.706241607666016,343,25054.0
87,27.59456729888916,347,26856.0
88,27.855310440063477,351,26456.0
89,36.061081647872925,355,24038.0
90,32.704976320266724,359,25930.0
91,33.442261695861816,363,28070.0
92,39.45558428764343,367,25200.0
93,38.83354568481445,371,28388.0
94,41.52082419395447,375,32206.0
95,38.61209583282471,379,29456.0
