Tamaño,Tiempo (s),Pasos
2,0.0024802684783935235,8.0
3,0.0025047659873962094,10.0
4,0.00267279148101803,16.0
5,0.0028194189071655087,19.0
6,0.0035762786865233937,23.0
7,0.004315793514251689,27.0
8,0.005626380443572941,30.0
9,0.00720614194869992,39.0
10,0.008405089378356875,41.0
11,0.010412871837615922,42.0
12,0.015737593173980692,49.0
13,0.019117653369903544,52.0
14,0.026882708072662312,56.0
15,0.027442157268524114,60.0
16,0.03642845153808593,63.0
17,0.051025032997131306,69.0
18,0.05861622095108028,71.0
19,0.06194967031478878,71.0
20,0.0953991413116455,80.0
21,0.09878802299499509,82.0
22,0.14204776287078855,88.0
23,0.12004792690277097,86.0
24,0.13634324073791504,90.0
25,0.225730299949646,101.0
26,0.2589619159698486,102.0
27,0.3003394603729248,103.0
28,0.2776731848716736,109.0
29,0.37459611892700195,119.0
30,0.36146217584609985,112.0
31,0.5631817579269409,118.0
32,0.46988582611083984,122.0
33,0.5793015956878662,127.0
34,0.7229905128479004,133.0
35,0.6701462268829346,140.0
36,0.7508201599121094,133.0
37,0.7792415618896484,139.0
38,1.1745179891586304,148.0
39,1.126145601272583,152.0
40,1.520663857460022,161.0
41,1.7686778903007507,162.0
42,2.042612373828888,167.0
43,2.07597154378891,173.0
44,2.3216888308525085,173.0
45,2.3636285066604614,176.0
46,2.659831941127777,173.0
47,3.343302011489868,180.0
48,2.9094144105911255,181.0
49,3.1775285601615906,189.0
50,4.744123220443726,202.0
51,6.380369961261749,202.0
52,4.261774778366089,191.0
53,5.622671008110046,201.0
54,6.1124876737594604,211.0
55,4.954182386398315,206.0
56,7.528956770896912,220.0
57,8.117613852024078,223.0
58,7.348574757575989,223.0
59,10.882681608200073,234.0
60,8.746317744255066,227.0
61,12.507177293300629,233.0
62,11.076889276504517,236.0
63,10.191175103187561,233.0
64,12.802881896495819,245.0
65,12.406699538230896,247.0
66,13.619926571846008,258.0
67,14.032244503498077,259.0
68,18.256563663482666,260.0
69,20.418339550495148,274.0
70,21.00575762987137,265.0
71,18.927479922771454,268.0
72,23.132782697677612,271.0
73,18.904562771320343,292.0
74,22.530756950378418,272.0
75,21.895218074321747,282.0
76,22.53776741027832,303.0
77,31.158379554748535,288.0
78,25.7638201713562,311.0
79,33.30582094192505,308.0
80,54.947792530059814,305.0
86,40.43758296966553,314.0
87,42.50794291496277,315.0
